Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
CNN,Aggression,0.5275203932208634,0.16775219011871179,0.01100869606114011,0.009704661428985774,0.021351348888624836,0.018524194486954727
CNN,Non-social,0.816895804643304,0.03926890198858691,0.5572472255697625,0.04929205223620013,0.6603461617104565,0.025412769724500486
CNN,Social,0.5801983858576089,0.015914792985021135,0.877613885709043,0.029501041985868982,0.6981366596553427,0.007953584467198644
GMM,Aggression,0.13222687455481882,0.048885585186007455,0.7037686228289289,0.07058261131241518,0.21876608069549847,0.06402888249854395
GMM,Non-social,0.7027255977483431,0.04356027511899269,0.3857711883261848,0.03674548074929735,0.4963076232741496,0.024607897680897602
GMM,Social,0.4892225909412603,0.03908400518379115,0.3138792670075664,0.1262609795741049,0.3722924062895734,0.09653020290560982
LSTM,Aggression,0.3947959129733244,0.11155664876982518,0.0276588124587,0.009673411979165939,0.051498846463805446,0.017356588738628782
LSTM,Non-social,0.7953693468467883,0.04408612202134105,0.5684569572645188,0.04226347749237562,0.6610124935130399,0.018864678930703944
LSTM,Social,0.5802986713008602,0.01357327562233079,0.8535731613541302,0.029863776322062476,0.690529748402858,0.008450322561142316
LightGBM,Aggression,0.413243492500799,0.12747803868681784,0.03668629418663977,0.01326369397721187,0.06696554509577317,0.02298451133823339
LightGBM,Non-social,0.7982002088231338,0.04663650207219452,0.5900123463369887,0.04396009959131783,0.6763575091471858,0.01899071544758899
LightGBM,Social,0.5905775018107924,0.014415931281930588,0.8514095065430931,0.03154648779863922,0.6969824130279855,0.008414907538257188
RandomForest,Aggression,0.1981333459170908,0.055099471740154,0.10070096052544267,0.01322450583440757,0.1317924773409151,0.020241742130129955
RandomForest,Non-social,0.7274088723879881,0.037585197355094094,0.6250763772417672,0.02611681021177405,0.6714291974873876,0.01421709412686205
RandomForest,Social,0.593249715239683,0.012002356345635457,0.7356001566277486,0.016274580134619042,0.6566449527685795,0.007976709921410469
XGBoost,Aggression,0.3531901650081938,0.10347781911114397,0.039825657406201725,0.012240913978970048,0.07121158587348667,0.02102239516986637
XGBoost,Non-social,0.7880030389106076,0.04614816234162344,0.5939555291987472,0.037793927612329414,0.6755976441469078,0.01584836324081179
XGBoost,Social,0.5899541471011042,0.012502457831302811,0.8390890751736764,0.030803827190955417,0.692463030355458,0.00961634298598782
