date_time,Raw_Data,Mean_Python,Triangular_Python,Gaussian_Python
2017-03-14 14:36:00,64,64.66666666666667,64.50000000000001,64.4259030070323
2017-03-14 14:46:00,65,64.25,64.5,64.62646802282393
2017-03-14 14:56:00,65,64.2,64.33333333333333,64.40261994689425
2017-03-14 15:06:00,63,66.2,65.1111111111111,64.44095692515505
2017-03-14 15:16:00,64,67.2,66.77777777777779,66.57923286987659
2017-03-14 15:26:00,74,71.6,71.1111111111111,70.69015858105402
2017-03-14 15:36:00,70,77.0,76.22222222222221,75.89106976576291
2017-03-14 15:46:00,87,77.4,80.1111111111111,81.72856593726688
2017-03-14 15:56:00,90,79.8,81.33333333333333,82.09883533672128
2017-03-14 16:06:00,66,84.2,80.99999999999999,79.30582722197546
2017-03-14 16:16:00,86,87.8,85.44444444444444,83.8344209565965
2017-03-14 16:26:00,92,86.0,89.44444444444444,91.69332806568583
2017-03-14 16:36:00,105,86.4,90.55555555555556,92.91318401110036
2017-03-14 16:46:00,81,83.0,83.33333333333333,83.63172607748592
2017-03-14 16:56:00,68,77.8,75.0,73.32592274728276
2017-03-14 17:06:00,69,70.2,69.22222222222221,68.56808147748349
2017-03-14 17:16:00,66,69.4,68.33333333333333,67.68515826715829
2017-03-14 17:26:00,67,74.0,71.88888888888889,70.61451787631981
2017-03-14 17:36:00,77,76.2,76.99999999999999,77.54089589161579
2017-03-14 17:46:00,91,77.4,80.66666666666667,82.5519530142845
2017-03-14 17:56:00,80,81.2,80.99999999999999,80.89607007965863
2017-03-14 18:06:00,72,84.2,81.22222222222221,79.4974882215072
2017-03-14 18:16:00,86,86.6,85.44444444444444,84.6457647940202
2017-03-14 18:26:00,92,90.2,91.55555555555554,92.45816512632116
2017-03-14 18:36:00,103,94.2,96.33333333333333,97.56709536055826
2017-03-14 18:46:00,98,99.2,98.55555555555554,98.13721944984427
2017-03-14 18:56:00,92,101.8,100.22222222222221,99.41276197927225
2017-03-14 19:06:00,111,102.8,103.66666666666667,104.02314749712487
2017-03-14 19:16:00,105,104.6,105.77777777777777,106.59843654798301
2017-03-14 19:26:00,108,109.8,108.55555555555554,107.73154753113242
2017-03-14 19:36:00,107,111.2,110.66666666666664,110.42081426498557
2017-03-14 19:46:00,118,106.0,110.1111111111111,112.64383969503191
2017-03-14 19:56:00,118,102.2,104.8888888888889,106.29660027988815
2017-03-14 20:06:00,79,96.4,94.1111111111111,93.03643577104486
2017-03-14 20:16:00,89,89.4,86.8888888888889,85.12501156257387
2017-03-14 20:26:00,78,84.8,83.55555555555556,82.8880177939453
2017-03-14 20:36:00,83,90.2,87.77777777777777,86.28958124596228
2017-03-14 20:46:00,95,97.2,96.1111111111111,95.40966287259248
2017-03-14 20:56:00,106,104.6,105.99999999999999,106.94656781032762
2017-03-14 21:06:00,124,110.8,113.66666666666667,115.2815050684766
2017-03-14 21:16:00,115,112.8,114.66666666666667,115.91832572958263
2017-03-14 21:26:00,114,114.2,113.22222222222223,112.5367874249209
2017-03-14 21:36:00,105,110.2,109.77777777777777,109.64182097500174
2017-03-14 21:46:00,113,105.2,106.77777777777777,107.64982612585288
2017-03-14 21:56:00,104,99.4,100.88888888888887,101.79819696809027
2017-03-14 22:06:00,90,101.6,97.44444444444444,94.8677576209616
2017-03-14 22:16:00,85,101.2,98.0,96.24323911685032
2017-03-14 22:26:00,116,97.0,101.44444444444444,103.99391929945466
2017-03-14 22:36:00,111,99.2,101.8888888888889,103.42177649013847
2017-03-14 22:46:00,83,101.0,98.1111111111111,96.630763852333
2017-03-14 22:56:00,101,98.0,96.55555555555554,95.43985329541559
2017-03-14 23:06:00,94,97.4,97.44444444444444,97.58228484169419
