observation_date,LAUST480000000000003A
1976-01-01,5.8
1977-01-01,5.4
1978-01-01,4.9
1979-01-01,4.4
1980-01-01,5.3
1981-01-01,5.3
1982-01-01,6.9
1983-01-01,8.1
1984-01-01,6.1
1985-01-01,7.0
1986-01-01,8.8
1987-01-01,8.5
1988-01-01,7.4
1989-01-01,6.7
1990-01-01,6.4
1991-01-01,6.9
1992-01-01,7.7
1993-01-01,7.2
1994-01-01,6.6
1995-01-01,6.1
1996-01-01,5.8
1997-01-01,5.4
1998-01-01,5.0
1999-01-01,4.7
2000-01-01,4.4
2001-01-01,5.0
2002-01-01,6.4
2003-01-01,6.8
2004-01-01,6.0
2005-01-01,5.5
2006-01-01,5.0
2007-01-01,4.4
2008-01-01,4.9
2009-01-01,7.6
2010-01-01,8.3
2011-01-01,8.0
2012-01-01,6.7
2013-01-01,6.3
2014-01-01,5.2
2015-01-01,4.5
2016-01-01,4.6
2017-01-01,4.4
2018-01-01,3.9
2019-01-01,3.5
2020-01-01,7.7
2021-01-01,5.6
2022-01-01,3.9
2023-01-01,4.0
2024-01-01,4.1
