observation_date,LAUST060000000000003A
1976-01-01,9.2
1977-01-01,8.4
1978-01-01,7.1
1979-01-01,6.2
1980-01-01,6.9
1981-01-01,7.4
1982-01-01,10.1
1983-01-01,9.8
1984-01-01,7.8
1985-01-01,7.2
1986-01-01,6.8
1987-01-01,5.8
1988-01-01,5.3
1989-01-01,5.1
1990-01-01,5.8
1991-01-01,7.8
1992-01-01,9.4
1993-01-01,9.5
1994-01-01,8.7
1995-01-01,7.9
1996-01-01,7.3
1997-01-01,6.4
1998-01-01,6.0
1999-01-01,5.3
2000-01-01,4.9
2001-01-01,5.5
2002-01-01,6.7
2003-01-01,6.9
2004-01-01,6.2
2005-01-01,5.4
2006-01-01,4.9
2007-01-01,5.3
2008-01-01,7.3
2009-01-01,11.5
2010-01-01,12.3
2011-01-01,11.7
2012-01-01,10.4
2013-01-01,9.0
2014-01-01,7.6
2015-01-01,6.2
2016-01-01,5.5
2017-01-01,4.8
2018-01-01,4.3
2019-01-01,4.1
2020-01-01,10.1
2021-01-01,7.3
2022-01-01,4.3
2023-01-01,4.7
2024-01-01,5.3
