Index,Raw_Data,GAM_Java_Loess
0,64.0,84.56105905911278
1,65.0,84.55797697647985
2,65.0,84.55490276487522
3,63.0,84.55183644297132
4,64.0,84.54877803015442
5,74.0,84.54572754654124
6,70.0,84.5426850129278
7,87.0,84.53965045060272
8,90.0,84.53662388128983
9,66.0,84.53360532674326
10,86.0,84.5305948087226
11,92.0,84.52759234939599
12,105.0,84.52459797100846
13,81.0,84.52161169553983
14,68.0,84.51863354454865
15,69.0,84.51566353969993
16,66.0,84.5127017031847
17,67.0,84.5097480577927
18,77.0,84.5068026269454
19,91.0,84.50386543465955
20,80.0,84.5009365052233
21,72.0,84.49801586289203
22,86.0,84.49510353210188
23,92.0,84.49219953764319
24,103.0,84.48930390434126
25,98.0,84.4864166567746
26,92.0,84.4835378190344
27,111.0,84.4806674148022
28,105.0,84.47780546740618
29,108.0,84.47495199953802
30,107.0,84.47210703323499
31,118.0,84.46927058985945
32,118.0,84.46644269006987
33,79.0,84.46362335371195
34,89.0,84.46081259996397
35,78.0,84.45801044799639
36,83.0,84.45521691697168
37,95.0,84.45243202623006
38,106.0,84.44965579514498
39,124.0,84.446888242785
40,115.0,84.44412938758505
41,114.0,84.44137924716459
42,105.0,84.43863783831718
43,113.0,84.43590517707896
44,104.0,84.43318127879701
45,90.0,84.43046615809888
46,85.0,84.42775982905647
47,116.0,84.42506230552682
48,111.0,84.42237360120352
49,83.0,84.4196937291145
50,101.0,84.41702270165635
51,94.0,84.41436053106874
52,101.0,84.41170722920228
53,108.0,84.40906280753276
54,87.0,84.4064272770189
55,97.0,84.40380064806807
56,102.0,84.40118293084755
57,102.0,84.39857413515966
58,104.0,84.3959742702817
59,126.0,84.39338334493371
60,117.0,84.39080136720125
61,112.0,84.3882283443551
62,111.0,84.38566428284756
63,130.0,84.38310918834932
64,114.0,84.38056306576622
65,121.0,84.37802591918903
66,103.0,84.37549775188981
67,99.0,84.37297856634247
68,98.0,84.37046836441134
69,114.0,84.3679671474751
70,111.0,84.36547491640968
71,100.0,84.36299167135545
72,110.0,84.36051741174224
73,112.0,84.35805213640919
74,99.0,84.35559584349696
