date,open,high,low,close,volume,dividends,stock_splits,price_range,price_change,price_change_pct,sma_5,ema_5,sma_10,ema_10,sma_20,ema_20,sma_50,ema_50,sma_100,ema_100,sma_200,ema_200,volatility_5d,volatility_10d,volatility_20d,volatility_50d,rsi_14,macd,macd_signal,macd_histogram,bb_middle,bb_upper,bb_lower,bb_width,volume_sma_20,volume_ratio,return_1d,return_5d,return_10d,return_20d,return_60d,return_120d,return_252d,close_lag_1,volume_lag_1,close_lag_2,volume_lag_2,close_lag_3,volume_lag_3,close_lag_5,volume_lag_5,close_lag_10,volume_lag_10,target_return_1d,target_direction,year,month,day,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end
1980-12-12,0.09838949143886566,0.09881724809647553,0.09838949143886566,0.09838949143886566,469033600,0.0,0.0,0.0004277566576098707,0.0,,,0.09838949143886566,,0.09838949143886566,,0.09838949143886566,,0.09838949143886566,,0.09838949143886566,,0.09838949143886566,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,-0.052170841885882724,0,1980,12,12,4,4,0,0,0,0
1980-12-15,0.09368418539130856,0.09368418539130856,0.09325642883777618,0.09325642883777618,175884800,0.0,0.0,0.0004277565535323741,-0.0004277565535323741,-0.052170841885882724,,0.09667847057183585,,0.09745620732957666,,0.097900628334,,0.09818819486627392,,0.0982878466348837,,0.09833841618910358,,,,,,-0.0004094750792891927,-8.189501585783855e-05,-0.00032758006343135414,,,,,,,-0.052170841885882724,,,,,,,0.09838949143886566,469033600.0,,,,,,,,,-0.07339750058042616,0,1980,12,15,0,4,0,0,0,0
1980-12-16,0.08683939106686066,0.08683939106686066,0.08641164004802704,0.08641164004802704,105728000,0.0,0.0,0.0004277510188336192,-0.0004277510188336192,-0.07339750058042616,,0.09325619373056626,,0.09544810418747672,,0.09680643897343114,,0.09772636918712699,,0.09805267422722316,,0.09821974179964013,,,,,,-0.001271645542538044,-0.0003198451211938797,-0.0009518004213441644,,,,,,,-0.07339750058042616,,,,,,,0.09325642883777618,175884800.0,0.09838949143886566,469033600.0,,,,,,,0.024750357260673317,1,1980,12,16,1,4,0,0,0,0
1980-12-17,0.08855035901069641,0.08897811551130588,0.08855035901069641,0.08855035901069641,86441600,0.0,0.0,0.0004277565006094719,0.0,0.024750357260673317,,0.09168758215727632,,0.09419396870078939,,0.09602014564364689,,0.09736652565079638,,0.09786450956947015,,0.09812352903557103,,,,,,-0.0017620334749270522,-0.0006082827919405142,-0.001153750682986538,,,,,,,0.024750357260673317,,,,,,,0.08641164004802704,105728000.0,0.09325642883777618,175884800.0,0.09838949143886566,469033600.0,,,,,0.028992274986647137,1,1980,12,17,2,4,0,0,0,0
1980-12-18,0.09111763536930084,0.0915453860806678,0.09111763536930084,0.09111763536930084,73449600,0.0,0.0,0.00042775071136695597,0.0,0.028992274986647137,0.09154511094093323,0.09149759989461784,,0.09363463536779146,,0.09555323990323297,,0.09712147112995344,,0.09773090810015987,,0.09805381865083203,0.004617303088406895,,,,,-0.001921363416426583,-0.000870898916837728,-0.0010504644995888552,,,,,,,0.028992274986647137,,,,,,,0.08855035901069641,86441600.0,0.08641164004802704,105728000.0,0.09325642883777618,175884800.0,,,,,0.061029214196831605,1,1980,12,18,3,4,0,0,0,0
1980-12-19,0.0966784730553627,0.09710622969892004,0.0966784730553627,0.0966784730553627,48630400,0.0,0.0,0.0004277566435573338,0.0,0.061029214196831605,0.09120290726423264,0.09322455761486613,,0.09418806040189531,,0.09566040496534056,,0.09710409865644008,,0.09771006780224309,,0.09804013362003135,0.004006191977941536,,,,,-0.0015806991002925153,-0.0010128589535286854,-0.0005678401467638298,,,,,,,0.061029214196831605,-0.017390255386837694,,,,,,0.09111763536930084,73449600.0,0.08855035901069641,86441600.0,0.08641164004802704,105728000.0,0.09838949143886566,469033600.0,,,0.04866921265586033,1,1980,12,19,4,4,0,0,0,0
1980-12-22,0.101383738219738,0.10181226005528636,0.101383738219738,0.101383738219738,37363200,0.0,0.0,0.0004285218355483539,0.0,0.04866921265586033,0.092828369140625,0.09594428448315676,,0.09549636545968489,,0.09620548432290223,,0.09727192765892236,,0.09778281375110437,,0.09807340331754086,0.006132292254737112,,,,,-0.0009204344053051899,-0.0009943740438839864,7.393963857879647e-05,,,,,,,0.04866921265586033,0.08715012448203052,,,,,,0.0966784730553627,48630400.0,0.09111763536930084,73449600.0,0.08855035901069641,86441600.0,0.09325642883777618,175884800.0,,,0.04219931736149829,1,1980,12,22,0,4,0,0,0,0
1980-12-23,0.10566206276416779,0.10608981937521215,0.10566206276416779,0.10566206276416779,46950400,0.0,0.0,0.00042775661104436924,0.0,0.04219931736149829,0.09667845368385315,0.09918354391016043,,0.09734467406049996,,0.09710611084111799,,0.09760095256501042,,0.09793883848403633,,0.09814891236676103,0.007068124893053022,,,,,-5.1352878277372005e-05,-0.0008057698107626636,0.0007544169324852916,,,,,,,0.04219931736149829,0.222775805498443,,,,,,0.101383738219738,37363200.0,0.0966784730553627,48630400.0,0.09111763536930084,73449600.0,0.08641164004802704,105728000.0,,,0.052627812052725265,1,1980,12,23,1,4,0,0,0,0
1980-12-24,0.11122282594442368,0.11165058240742098,0.11122282594442368,0.11122282594442368,48003200,0.0,0.0,0.0004277564629973085,0.0,0.052627812052725265,0.10121294707059861,0.10319663792158153,,0.09986797440303154,,0.09845055989857568,,0.0981351436779286,,0.09820188774067766,,0.09827900105907608,0.0077861776257873525,,,,,0.00107373031401016,-0.00042986978580809886,0.001503600099818259,,,,,,,0.052627812052725265,0.25604037281191094,,,,,,0.10566206276416779,46950400.0,0.101383738219738,37363200.0,0.0966784730553627,48630400.0,0.08855035901069641,86441600.0,,,0.09230942368657713,1,1980,12,24,2,4,0,0,0,0
1980-12-26,0.1214897409081459,0.12191749759313703,0.1214897409081459,0.1214897409081459,55574400,0.0,0.0,0.00042775668499112074,0.0,0.09230942368657713,0.10728736817836762,0.109294338917103,0.09941623955965043,0.1037992046766887,,0.10064476761377285,,0.09905101023597633,,0.09866303334795426,,0.09850995369439021,0.00958173182536349,0.01091412411947356,,,,0.0027619826661675895,0.0002085007045870388,0.0025534819615805507,,,,,,,0.09230942368657713,0.3333285089735545,,,,,,0.11122282594442368,48003200.0,0.10566206276416779,46950400.0,0.101383738219738,37363200.0,0.09111763536930084,73449600.0,,,0.014083277050635834,1,1980,12,26,4,4,0,0,0,0
