,deficit,interest_income_ratio,chf_per_usd,jpy_per_usd,jpy100_per_usd,ofr_fsi,usd_reserve_share,cb_gold_reserves
2010-01-31,-42634.0,0.26724967161595375,1.0344578947368421,91.10105263157895,1.097682157465394,0.10931578947368421,,-3457.2831552875587
2010-02-28,-220909.0,0.26724967161595375,1.0722,90.13947368421053,1.1093918780836716,0.8627368421052631,,-3449.753244601892
2010-03-31,-65387.0,0.26724967161595375,1.0665695652173912,90.71608695652174,1.1023403164195986,-0.35434782608695653,61.7866178456704,-3419.503470670539
2010-04-30,-82689.0,0.26636683269487454,1.0689545454545455,93.45272727272727,1.0700597287884979,-0.7204285714285714,61.7866178456704,-3417.663480521825
2010-05-31,-135927.0,0.26636683269487454,1.12951,91.973,1.087275613495265,2.7588,61.7866178456704,-3396.5591241464936
2010-06-30,-68422.0,0.26636683269487454,1.1254636363636363,90.8059090909091,1.1012499186576763,3.101318181818182,62.5629426546716,-3391.153480118539
2010-07-31,-165043.0,0.26340419363022444,1.0529714285714287,87.50047619047619,1.1428509232602815,1.965857142857143,62.5629426546716,-3352.6251986098086
2010-08-31,-90526.0,0.26340419363022444,1.0387636363636363,85.37272727272727,1.1713342562027473,1.640272727272727,62.5629426546716,-3353.307654085389
2010-09-30,-34607.0,0.26340419363022444,1.0001904761904763,84.35714285714286,1.1854360711261642,1.2975714285714286,61.8216648528552,-3325.163103964685
2010-10-31,-140432.0,0.2634596467063916,0.9686049999999999,81.7285,1.223563383642181,0.7528095238095238,61.8216648528552,-3320.0871187086186
2010-11-30,-150394.0,0.2634596467063916,0.98467,82.518,1.211856806999685,0.6880000000000001,61.8216648528552,-3307.649733887446
2010-12-31,-78134.0,0.2634596467063916,0.9689333333333333,83.33761904761904,1.1999382888880001,0.5648181818181818,61.9359313840198,-3301.3647366500154
2011-01-31,-49796.0,0.262298026183793,0.95652,82.625,1.2102874432677762,-0.1166,61.9359313840198,-3291.97558148067
2011-02-28,-222507.0,0.262298026183793,0.9499684210526315,82.53684210526316,1.2115801555923988,-0.6747894736842105,61.9359313840198,-3285.5919032242555
2011-03-31,-188154.0,0.262298026183793,0.9185304347826088,81.64695652173914,1.224785396297953,0.059652173913043505,61.8158329080448,-3178.73466506989
2011-04-30,-40387.0,0.2674032960358404,0.8971571428571428,83.17714285714285,1.2022533663094257,-0.678,61.8158329080448,-3156.956771611508
2011-05-31,-57641.0,0.2674032960358404,0.8740476190476191,81.1257142857143,1.2326547862224413,-0.17704761904761904,61.8158329080448,-3146.556997536415
2011-06-30,-43080.0,0.2674032960358404,0.8400590909090909,80.42590909090909,1.243380412237124,0.37068181818181817,61.5510637552286,-3112.498608893103
2011-07-31,-129376.0,0.2724418632300254,0.821415,79.24249999999999,1.2619490803546078,0.3816,61.5510637552286,-3103.817504061202
2011-08-31,-134143.0,0.2724418632300254,0.780004347826087,76.96565217391304,1.2992808762802153,3.8351304347826085,61.5510637552286,-3097.913907017145
2011-09-30,-62750.0,0.2724418632300254,0.8766999999999999,76.79571428571428,1.302155998288595,5.413571428571428,62.2451136915126,-3042.1482311025297
2011-10-31,-98466.0,0.27213527625395256,0.895805,76.643,1.3047505969233981,4.970571428571429,62.2451136915126,-3017.545828465809
2011-11-30,-137302.0,0.27213527625395256,0.90786,77.5595,1.2893327058580832,5.2824285714285715,62.2451136915126,-2957.8290620710227
2011-12-31,-85967.0,0.27213527625395256,0.9333523809523809,77.79666666666667,1.2854021166288188,4.600142857142857,62.5146439280514,-2924.2669169245823
2012-01-31,-27407.0,0.2647134010448398,0.9376,76.964,1.2993087677355648,2.71165,62.5146439280514,-2911.140924284704
2012-02-29,-231677.0,0.2647134010448398,0.911805,78.47,1.2743723716069837,1.02265,62.5146439280514,-2910.7665745970144
2012-03-31,-198157.0,0.2647134010448398,0.9130909090909092,82.4659090909091,1.2126222957144825,0.0019999999999999966,61.8726400110631,-2824.089638725701
2012-04-30,59117.0,0.26320842975101755,0.9133380952380952,81.25238095238095,1.2307331653284885,0.3008,61.8726400110631,-2787.415046698085
2012-05-31,-124636.0,0.26320842975101755,0.9383045454545456,79.66681818181819,1.255227738250783,1.321409090909091,61.8726400110631,-2759.215506326904
2012-06-30,-59741.0,0.26320842975101755,0.9576190476190476,79.31523809523809,1.2607917772361044,1.789047619047619,62.1502827709439,-2748.5505674221577
2012-07-31,-69604.0,0.2617222097299628,0.9782714285714287,78.9347619047619,1.2668689635202066,0.5851428571428572,62.1502827709439,-2659.969407765689
2012-08-31,-190533.0,0.2617222097299628,0.9681217391304348,78.69086956521738,1.2707954627076785,-0.3943478260869565,62.1502827709439,-2630.9687714762736
2012-09-30,75180.0,0.2617222097299628,0.9386000000000001,78.13526315789473,1.2798318705079588,-1.3015789473684212,61.8049764580097,-2622.825937355684
2012-10-31,-119995.0,0.25290337585382255,0.9323318181818181,79.01318181818182,1.2656116068089904,-1.6694285714285715,61.8049764580097,-2585.1653000119645
2012-11-30,-172112.0,0.25290337585382255,0.93875,81.0305,1.2341032080512893,-1.666952380952381,61.8049764580097,-2542.9201197790235
2012-12-31,-1191.0,0.25290337585382255,0.92134,83.7905,1.1934527183869295,-2.27205,61.8442420601233,-2473.795710323141
2013-01-31,2886.0,0.23056365842887575,0.9233809523809523,89.05809523809523,1.122862550929837,-2.885238095238095,61.8442420601233,-2443.0384527548927
2013-02-28,-203539.0,0.23056365842887575,0.9212421052631579,93.00157894736842,1.075250561676938,-2.6127368421052632,61.8442420601233,-2395.8273436815407
2013-03-31,-106530.0,0.23056365842887575,0.9466095238095237,94.77000000000001,1.0551862403714254,-2.8788,62.0793927374482,-2343.1622062496454
2013-04-30,112889.0,0.21088276247200857,0.9365909090909091,97.75818181818181,1.0229322818829394,-2.6505,62.0793927374482,-2294.62945020477
2013-05-31,-138732.0,0.21088276247200857,0.9556954545454546,100.91863636363637,0.990897257466636,-3.0597272727272724,62.0793927374482,-2255.93574873672
2013-06-30,116501.0,0.21088276247200857,0.9330849999999999,97.235,1.0284362626626216,-1.52055,62.037540522709,-2240.821919229398
