Model,Class,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std
CNN,Clinch,0.33043890393257064,0.06625734299854252,0.26428426404557237,0.270950596464837,0.22536840542784584,0.16068338593954576
CNN,Keep down,0.5039531971369555,0.2098764124822011,0.6384970704040962,0.2541788439658971,0.4899812297352992,0.07589096492430797
CNN,Lateral threat,0.49414108903777565,0.11520272381592808,0.41965307024677295,0.029464885774223317,0.4456101694804683,0.031618091839259274
GMM,Clinch,0.31717618866757924,0.04737018800311747,0.6462614600107583,0.07128975974317547,0.42063272671752594,0.03161845658619275
GMM,Keep down,0.49414487457123746,0.13656634604355553,0.3243083508173711,0.13412500592087442,0.36988662298465524,0.11279439434489336
GMM,Lateral threat,0.44901540247916716,0.08533633022305234,0.23870511794136823,0.06724139287250015,0.3070390048020646,0.06845150512340378
LSTM,Clinch,0.30824065410790213,0.03739314521340532,0.2763923203071302,0.27224409291705515,0.2306798184495719,0.16006613907492623
LSTM,Keep down,0.499951723114944,0.20738992880638735,0.6322291829009656,0.2500420306263377,0.4863686783601574,0.07064476676029638
LSTM,Lateral threat,0.48689920808066295,0.11801518578421898,0.3946251572162365,0.036517885606776865,0.4269606956455096,0.029407139285182484
LightGBM,Clinch,0.3154408551032351,0.06070678014369798,0.31522424212122646,0.2579657062702328,0.2705779249402528,0.1257248063121315
LightGBM,Keep down,0.4955868566157088,0.19696932833632985,0.5498313749885664,0.20933816859097515,0.4599731772217644,0.0758862934205642
LightGBM,Lateral threat,0.47577059452363085,0.12251545627764918,0.4241166804982982,0.02897936765123573,0.44304781932127346,0.05869450834421177
RandomForest,Clinch,0.31119449206501304,0.05646462263928788,0.3517003540424266,0.23276100656259638,0.29663317179110327,0.09338971680391643
RandomForest,Keep down,0.4744974061203209,0.18454606970349668,0.5072153762009373,0.19560710861160244,0.4338016197180409,0.07434554626960002
RandomForest,Lateral threat,0.46661624371089194,0.10829281109854652,0.3847878664469908,0.016327612955599216,0.4175117175641468,0.04555532403449445
XGBoost,Clinch,0.3234158931713804,0.05530489170883464,0.33539418993827674,0.23459078231925096,0.2918583612571481,0.10433328680575471
XGBoost,Keep down,0.4889764293987982,0.1898152169321569,0.5278434164658314,0.20244340166745178,0.4491261774221062,0.07680097926006696
XGBoost,Lateral threat,0.4712779358741391,0.12867848611310742,0.4164357123952936,0.024154338406453552,0.4361105540472323,0.06001875779576646
