ts_ms,o,h,l,c,vol
1764296040000,0.017261741124652716,0.017271835871990965,0.017202832024520647,0.017202832024520647,95928.49959
1764296100000,0.017202832024520647,0.017438029470109858,0.017193615235099186,0.017283753256953863,18537.85451
1764296160000,0.017283753256953863,0.017407417427459784,0.017129585542432373,0.01717433608428866,390993.808648
1764296220000,0.01717433608428866,0.017287428370179086,0.01699179669565614,0.017068415010848683,195167.961915
1764296280000,0.017068415010848683,0.01714891873298164,0.01689590606235247,0.01697827869854831,309168.170662
1764296340000,0.01697827869854831,0.017232066490281465,0.016854291521605905,0.017232066490281465,69825.501354
1764296400000,0.017232066490281465,0.017232066490281465,0.016858967600165954,0.016858967600165954,12987.0
1764296520000,0.016858967600165954,0.016954920247141535,0.016858967600165954,0.016944495476548235,4323.653383
1764296580000,0.016944495476548235,0.016944495476548235,0.016937024246828997,0.016937024246828997,12834.62335
1764296640000,0.016937024246828997,0.016972219735578217,0.016875294175468604,0.016972219735578217,30495.823743
1764296700000,0.016972219735578217,0.016993360938949827,0.016972219735578217,0.016993360938949827,3237.353483
1764296760000,0.016993360938949827,0.016993360938949827,0.01699328029094749,0.01699328029094749,2831.848988
1764296820000,0.01699328029094749,0.01700952769291985,0.01699328029094749,0.01700952769291985,24817.165848
1764296880000,0.01700952769291985,0.01700952769291985,0.016922498310352637,0.016922498310352637,6155.969423
1764296940000,0.016922498310352637,0.01700246432023698,0.01691680192246345,0.01700246432023698,14895.19807
1764297000000,0.01700246432023698,0.01700246432023698,0.01691145643210243,0.016996885817367968,4804.165618
1764297060000,0.016996885817367968,0.016996885817367968,0.016894670626750503,0.016894670626750503,5553.701152
1764297120000,0.016894670626750503,0.016982058236569973,0.016894670626750503,0.016982058236569973,812.17507
1764297180000,0.016982058236569973,0.016982058236569973,0.016899952487428763,0.01693193766023966,2363.741679
1764297240000,0.01693193766023966,0.017012208923268542,0.01693193766023966,0.016954898835921703,65231.286376
1764297360000,0.016954898835921703,0.017049921991132585,0.016930950386573294,0.01698416410966195,41706.712835
1764297420000,0.01698416410966195,0.017185277220365523,0.016898036054978825,0.01709767949246533,270747.171778
