date_time,Raw_Data,Triangular_Python,Gaussian_Python
2017-03-14 14:36:00,64,64.50000000000001,64.4259030070323
2017-03-14 14:46:00,65,64.5,64.62646802282393
2017-03-14 14:56:00,65,64.33333333333333,64.40261994689425
2017-03-14 15:06:00,63,65.1111111111111,64.44095692515505
2017-03-14 15:16:00,64,66.77777777777779,66.57923286987659
2017-03-14 15:26:00,74,71.1111111111111,70.69015858105402
2017-03-14 15:36:00,70,76.22222222222221,75.89106976576291
2017-03-14 15:46:00,87,80.1111111111111,81.72856593726688
2017-03-14 15:56:00,90,81.33333333333333,82.09883533672128
2017-03-14 16:06:00,66,80.99999999999999,79.30582722197546
2017-03-14 16:16:00,86,85.44444444444444,83.8344209565965
2017-03-14 16:26:00,92,89.44444444444444,91.69332806568583
2017-03-14 16:36:00,105,90.55555555555556,92.91318401110036
2017-03-14 16:46:00,81,83.33333333333333,83.63172607748592
2017-03-14 16:56:00,68,75.0,73.32592274728276
2017-03-14 17:06:00,69,69.22222222222221,68.56808147748349
2017-03-14 17:16:00,66,68.33333333333333,67.68515826715829
2017-03-14 17:26:00,67,71.88888888888889,70.61451787631981
2017-03-14 17:36:00,77,76.99999999999999,77.54089589161579
2017-03-14 17:46:00,91,80.66666666666667,82.5519530142845
2017-03-14 17:56:00,80,80.99999999999999,80.89607007965863
2017-03-14 18:06:00,72,81.22222222222221,79.4974882215072
2017-03-14 18:16:00,86,85.44444444444444,84.6457647940202
2017-03-14 18:26:00,92,91.55555555555554,92.45816512632116
2017-03-14 18:36:00,103,96.33333333333333,97.56709536055826
2017-03-14 18:46:00,98,98.55555555555554,98.13721944984427
2017-03-14 18:56:00,92,100.22222222222221,99.41276197927225
2017-03-14 19:06:00,111,103.66666666666667,104.02314749712487
2017-03-14 19:16:00,105,105.77777777777777,106.59843654798301
2017-03-14 19:26:00,108,108.55555555555554,107.73154753113242
2017-03-14 19:36:00,107,110.66666666666664,110.42081426498557
2017-03-14 19:46:00,118,110.1111111111111,112.64383969503191
2017-03-14 19:56:00,118,104.8888888888889,106.29660027988815
2017-03-14 20:06:00,79,94.1111111111111,93.03643577104486
2017-03-14 20:16:00,89,86.8888888888889,85.12501156257387
2017-03-14 20:26:00,78,83.55555555555556,82.8880177939453
2017-03-14 20:36:00,83,87.77777777777777,86.28958124596228
2017-03-14 20:46:00,95,96.1111111111111,95.40966287259248
2017-03-14 20:56:00,106,105.99999999999999,106.94656781032762
2017-03-14 21:06:00,124,113.66666666666667,115.2815050684766
2017-03-14 21:16:00,115,114.66666666666667,115.91832572958263
2017-03-14 21:26:00,114,113.22222222222223,112.5367874249209
2017-03-14 21:36:00,105,109.77777777777777,109.64182097500174
2017-03-14 21:46:00,113,106.77777777777777,107.64982612585288
2017-03-14 21:56:00,104,100.88888888888887,101.79819696809027
2017-03-14 22:06:00,90,97.44444444444444,94.8677576209616
2017-03-14 22:16:00,85,98.0,96.24323911685032
2017-03-14 22:26:00,116,101.44444444444444,103.99391929945466
2017-03-14 22:36:00,111,101.8888888888889,103.42177649013847
2017-03-14 22:46:00,83,98.1111111111111,96.630763852333
2017-03-14 22:56:00,101,96.55555555555554,95.43985329541559
2017-03-14 23:06:00,94,97.44444444444444,97.58228484169419
