day,symbol,daily_supply,aum,global_tvl,price
1/27/2026,CSCOon,24963.85598,1939824.573,"$524,388,005.15",77.70532624
1/27/2026,VRTon,490.9863807,89523.18325,"$524,388,005.15",182.333333
1/27/2026,SGOVon,25.00409011,2516.161588,"$524,388,005.15",100.63
1/27/2026,PLUGon,7278.228713,16825.02309,"$524,388,005.15",2.311692
1/27/2026,COFon,2.373483267,523.131536,"$524,388,005.15",220.406667
1/27/2026,JDon,35534.76612,1037792.844,"$524,388,005.15",29.205
1/27/2026,MPon,1696.366064,107436.5168,"$524,388,005.15",63.333333
1/27/2026,KOon,44105.90082,3226363.566,"$524,388,005.15",73.15038365
1/27/2026,MRNAon,6382.323755,306530.2453,"$524,388,005.15",48.028
1/27/2026,JAAAon,83.60903129,4245.42339,"$524,388,005.15",50.777091
1/27/2026,RGTIon,1564.270052,34607.91064,"$524,388,005.15",22.124
1/27/2026,OSCRon,467.6708599,7342.204277,"$524,388,005.15",15.699512
1/27/2026,DEon,0.09762379564,50.74081118,"$524,388,005.15",519.7586393
1/27/2026,VSTon,161.4063424,25822.59368,"$524,388,005.15",159.985
1/27/2026,IBMon,7600.96529,2276010.46,"$524,388,005.15",299.4370285
1/27/2026,SPGIon,1915.114454,1027846.936,"$524,388,005.15",536.702615
1/27/2026,CATon,117.3891046,75180.39874,"$524,388,005.15",640.4376198
1/27/2026,METAon,9788.205505,6604817.034,"$524,388,005.15",674.7730246
1/27/2026,RIOTon,22399.93023,366313.5182,"$524,388,005.15",16.353333
1/27/2026,MSTRon,17400.7863,2798198.694,"$524,388,005.15",160.80875
1/27/2026,ONDSon,112459.483,1262605.107,"$524,388,005.15",11.2272
1/27/2026,TLTon,205400.9549,18431088.34,"$524,388,005.15",89.73224272
1/27/2026,SCHWon,1.165940235,120.6748143,"$524,388,005.15",103.5
1/27/2026,SHOPon,3553.998107,488919.077,"$524,388,005.15",137.56875
1/27/2026,HOODon,6505.677053,696210.1629,"$524,388,005.15",107.015789
1/27/2026,Von,5144.496781,1697124.357,"$524,388,005.15",329.8912274
1/27/2026,CRMon,3585.058797,849137.374,"$524,388,005.15",236.8545182
1/27/2026,SNOWon,3345.029466,713829.2881,"$524,388,005.15",213.4
1/27/2026,ONon,4.43814441,271.3622714,"$524,388,005.15",61.143182
1/27/2026,HIMSon,24342.93144,737469.1079,"$524,388,005.15",30.295
1/27/2026,HYGon,10945.5453,909365.2176,"$524,388,005.15",83.08085093
1/27/2026,BACon,236.6174111,12311.99255,"$524,388,005.15",52.033333
1/27/2026,LIon,2277.204934,38154.56867,"$524,388,005.15",16.755
1/27/2026,PDDon,21884.94846,2347879.796,"$524,388,005.15",107.282857
1/27/2026,IAUon,143647.9897,13726910.68,"$524,388,005.15",95.559365
1/27/2026,TSMon,9585.065526,3261799.494,"$524,388,005.15",340.3001769
1/27/2026,IWNon,24670.36949,4842068.8,"$524,388,005.15",196.2706234
1/27/2026,BABAon,16680.6436,2906351.938,"$524,388,005.15",174.235
1/27/2026,SLVon,394629.2055,39977629.9,"$524,388,005.15",101.304286
1/27/2026,PALLon,1944.605059,352890.2589,"$524,388,005.15",181.471429
1/27/2026,NTESon,0.9437672789,125.2733092,"$524,388,005.15",132.7375
