formatted_log_date,DAU,次留率,7留率,30留率
2025-12-28,5322,0.087749,0.052988,
2025-12-29,3382,0.136901,0.06298,
2025-12-30,3839,0.174264,0.062256,
2025-12-31,7903,0.194989,0.037454,
2026-01-01,12055,0.14691,0.030029,
2026-01-02,7641,0.12747,0.044628,
2026-01-03,5885,0.074087,0.076126,
2026-01-04,2887,0.14167,0.072047,
2026-01-05,2693,0.140364,0.078723,
2026-01-06,3079,0.116921,0.054563,
2026-01-07,3305,0.109834,0.054463,
2026-01-08,3228,0.130731,0.055762,
2026-01-09,3518,0.13502,0.074474,
2026-01-10,5001,0.157768,0.114977,
2026-01-11,4424,0.088834,0.103074,
2026-01-12,2843,0.123109,0.068941,
2026-01-13,3285,0.122983,0.054795,
2026-01-14,3273,0.116712,0.055606,
2026-01-15,3365,0.111144,0.048737,
2026-01-16,3759,0.135408,0.070497,
2026-01-17,5196,0.154157,0.099885,
2026-01-18,4321,0.09396,0.094423,
2026-01-19,2956,0.119418,0.058187,
2026-01-20,3394,0.112846,,
2026-01-21,3062,0.124428,,
2026-01-22,3282,0.122486,,
2026-01-23,3805,0.130618,,
2026-01-24,5205,0.132373,,
2026-01-25,4319,0.093309,,
2026-01-26,3148,,,
