formatted_log_date,DAU,次留率,7留率,30留率
2025-12-28,8892,0.090981,0.048246,
2025-12-29,6257,0.128816,0.061531,
2025-12-30,6210,0.14219,0.065217,
2025-12-31,8264,0.167957,0.055542,
2026-01-01,9841,0.170816,0.046032,
2026-01-02,7665,0.142596,0.058187,
2026-01-03,5858,0.095596,0.095766,
2026-01-04,3753,0.166001,0.091127,
2026-01-05,4456,0.142953,0.073833,
2026-01-06,5341,0.122262,0.06291,
2026-01-07,5129,0.123611,0.061805,
2026-01-08,4932,0.12571,0.059611,
2026-01-09,5473,0.124977,0.089896,
2026-01-10,6345,0.130496,0.096769,
2026-01-11,6193,0.06685,0.087841,
2026-01-12,4595,0.106638,0.054189,
2026-01-13,4801,0.115184,0.059363,
2026-01-14,5073,0.10546,0.049872,
2026-01-15,4090,0.134719,0.074083,
2026-01-16,5392,0.142804,0.088835,
2026-01-17,6550,0.143206,0.110534,
2026-01-18,5461,0.090826,0.10456,
2026-01-19,4783,0.13318,0.071085,
2026-01-20,4829,0.118244,,
2026-01-21,4636,0.135677,,
2026-01-22,4275,0.152281,,
2026-01-23,4998,0.140256,,
2026-01-24,6421,0.1411,,
2026-01-25,5452,0.095561,,
2026-01-26,4349,,,
