组合代码,估值日期,市场代码,科目代码,科目名称,证券代码,证券名称, 数量 ,成本,市值,应收利息
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,600900,长江电力," 135,000 ","3,643,230.56","3,989,250.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,600941,中国移动," 11,900 ","886,369.43","1,406,104.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,600985,淮北矿业," 200,600 ","2,907,508.00","2,822,442.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,601021,春秋航空," 48,500 ","2,777,463.00","2,796,995.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,601058,赛轮轮胎," 91,300 ","1,348,357.00","1,308,329.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,601088,中国神华," 83,900 ","2,834,713.00","3,647,972.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,601168,西部矿业," 231,700 ","3,073,280.99","3,723,419.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,688036,传音控股," 35,729 ","3,420,552.84","3,394,255.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,688012,中微公司," 16,282 ","3,520,466.04","3,079,903.12",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,605090,九丰能源," 16,600 ","373,880.11","473,598.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603993,洛阳钼业," 58,300 ","310,156.00","387,695.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603619,中曼石油," 50,700 ","948,714.00","981,552.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603565,中谷物流," 114,300 ","1,105,426.00","1,120,140.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603395,红四方, 154 ,"1,228.92","8,103.48",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603391,力聚热能, 100 ,"4,000.00","4,209.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603350,安乃达, 106 ,"2,179.36","3,869.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603338,浙江鼎力," 43,100 ","2,618,386.00","2,780,812.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603323,苏农银行," 216,900 ","959,095.28","1,147,401.00",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603310,巍华新材, 254 ,"4,417.06","4,686.30",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603285,键邦股份, 129 ,"2,405.85","2,941.20",0.00
I47Q0297,2024-12-31,上海,11020101,上交所股票投资成本,603259,药明康德," 25,900 ","1,445,719.00","1,425,536.00",0.00
