@timestamp,@version,capacity_bytes,date,failure,model,serial_number,lifetime
2018-01-01T09:38:29.732Z,1,8001563222016.0,2017-04-18T21:00:00.000Z,1,ST8000DM002,ZA11WTAK,299
2018-01-01T09:38:01.463Z,1,250059350016.0,2017-04-18T21:00:00.000Z,1,ST250LM004 HN,S2T0J9ACB00405,473
2018-01-01T09:57:00.561Z,1,4000787030016.0,2017-04-28T21:00:00.000Z,1,ST4000DM000,Z300GQJ1,483
2018-01-01T09:45:45.712Z,1,8001563222016.0,2017-04-20T21:00:00.000Z,1,ST8000DM002,ZA13QBYE,159
2018-01-01T09:49:00.954Z,1,4000787030016.0,2017-04-22T21:00:00.000Z,1,ST4000DM000,Z3040KMY,477
2018-01-01T09:54:40.751Z,1,4000787030016.0,2017-04-26T21:00:00.000Z,1,ST4000DM000,W300DD6P,481
2018-01-01T09:59:25.231Z,1,4000787030016.0,2017-04-29T21:00:00.000Z,1,ST4000DM000,S300XBP0,484
2018-01-01T10:00:03.164Z,1,4000787030016.0,2017-04-30T21:00:00.000Z,1,ST4000DM000,Z305BNDZ,485
2018-01-01T09:48:32.821Z,1,8001563222016.0,2017-04-22T21:00:00.000Z,1,ST8000DM002,ZA12QCHW,198
2018-01-01T09:13:19.327Z,1,4000787030016.0,2017-04-04T21:00:00.000Z,1,HGST HMS5C4040BLE640,PL2331LAH46A7J,361
2018-01-01T09:31:22.089Z,1,4000787030016.0,2017-04-13T21:00:00.000Z,1,ST4000DM000,Z3059LJ1,446
2018-01-01T09:35:12.935Z,1,4000787030016.0,2017-04-16T21:00:00.000Z,1,ST4000DX000,Z1Z054BY,471
2018-01-01T09:30:04.909Z,1,4000787030016.0,2017-04-13T21:00:00.000Z,1,HGST HMS5C4040BLE640,PL1331LAHBSRGH,26
2018-01-01T09:21:49.393Z,1,4000787030016.0,2017-04-08T21:00:00.000Z,1,HGST HMS5C4040ALE640,PL1331LAGSE14H,463
2018-01-01T09:29:39.918Z,1,4000787030016.0,2017-04-12T21:00:00.000Z,1,ST4000DM000,Z305BAKB,428
2018-01-01T09:34:46.476Z,1,4000787030016.0,2017-04-16T21:00:00.000Z,1,ST4000DM000,Z300GQ7V,471
2018-01-01T09:20:14.617Z,1,4000787030016.0,2017-04-07T21:00:00.000Z,1,ST4000DM000,W300D26M,462
